role_id,role_label,model_id,scheme_id,scheme_source,fe_label,variables,variable_count,temperature_proxy,coef_r1xday,coef_amc,coef_temperature_proxy,largest_abs_predictor,largest_abs_predictor_coef,baseline_pred_start,baseline_pred_end,baseline_pred_change,baseline_vs_last_observed,strongest_scenario_id,strongest_scenario_label,strongest_scenario_delta,weakest_scenario_id,weakest_scenario_label,weakest_scenario_delta,delta_spread_2050,scenario_count,top_provinces_under_strongest,bottom_provinces_under_strongest,baseline_mode,baseline_mode_label
main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | 氮氧化物 | 医疗水平 | 人均日生活用水量(升) | 牲畜饲养-猪年底头数 | 文盲比例,8,TA（°C）,0.8681434804323386,0.7386021840174268,0.5511428509276627,医疗水平,1.4591550495110854,30.785977310339014,27.210010924599764,-3.5759663857392496,-4.247309174655815,ssp585,SSP5-8.5（climate）,1.4872826798176069,amc_reduce_50,AMC reduces 50% by 2050,-1.5189486859243146,3.0062313657419217,6,浙江、西藏、青海,河南、湖北、新疆,lancet_ets,Lancet-like ETS baseline
strict_main_model,严筛主模型,SYS_09851 | Province: No / Year: Yes,SYS_09851,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 卫生程度（日污水处理能力） | 牲畜饲养-猪年底头数 | 食品消费量,8,TA（°C）,0.8553290261795496,0.6422790746861687,0.4723773054202255,医疗水平,1.406610847764336,30.785977310339014,27.210010924599764,-3.5759663857392496,-4.247309174655815,ssp585,SSP5-8.5（climate）,1.3108701408564962,amc_reduce_50,AMC reduces 50% by 2050,-1.3208584778138457,2.631728618670342,6,浙江、西藏、广东,河南、湖北、新疆,lancet_ets,Lancet-like ETS baseline
strict_top_02,严筛模型 2,SYS_10001 | Province: No / Year: Yes,SYS_10001,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 饮用水供水综合生产能力(万立方米/日) | 牲畜饲养-猪年底头数 | 食品消费量,8,TA（°C）,0.8918085904973961,0.6347530197868431,0.4578477866444546,医疗水平,1.300414451051195,30.785977310339014,27.210010924599764,-3.5759663857392496,-4.247309174655815,ssp585,SSP5-8.5（climate）,1.2909459157148846,amc_reduce_50,AMC reduces 50% by 2050,-1.3053810104479284,2.596326926162813,6,浙江、广东、西藏,河南、湖北、新疆,lancet_ets,Lancet-like ETS baseline
strict_top_03,严筛模型 3,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 饮用水供水综合生产能力(万立方米/日) | 牲畜饲养-猪年底头数 | 文盲比例,8,TA（°C）,0.9147969466498762,0.6692767756048551,0.6920954744804111,医疗水平,1.2919869633731786,30.785977310339014,27.210010924599764,-3.5759663857392496,-4.247309174655815,ssp585,SSP5-8.5（climate）,1.8106823856707945,amc_reduce_50,AMC reduces 50% by 2050,-1.3763797356990626,3.1870621213698573,6,西藏、青海、浙江,河南、湖北、新疆,lancet_ets,Lancet-like ETS baseline
strict_top_04,严筛模型 4,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 城市用水普及率 | 牲畜饲养-猪年底头数 | PA（%） | 食品消费量,9,TA（°C）,0.9790142188548401,0.7563925147800794,0.5106792364915679,医疗水平,1.4734351305860134,30.785977310339014,27.210010924599764,-3.5759663857392496,-4.247309174655815,ssp585,SSP5-8.5（climate）,1.4348090247107033,amc_reduce_50,AMC reduces 50% by 2050,-1.5555348213553088,2.990343846066012,6,浙江、广东、西藏,河南、湖北、新疆,lancet_ets,Lancet-like ETS baseline
strict_top_05,严筛模型 5,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 城市用水普及率 | 牲畜饲养-猪年底头数 | 食品消费量,8,TA（°C）,0.9469588021691318,0.7552918908630947,0.5358661837527696,医疗水平,1.453179403104753,30.785977310339014,27.210010924599764,-3.5759663857392496,-4.247309174655815,ssp585,SSP5-8.5（climate）,1.479476777887469,amc_reduce_50,AMC reduces 50% by 2050,-1.5532713684593162,3.032748146346785,6,浙江、西藏、青海,河南、湖北、新疆,lancet_ets,Lancet-like ETS baseline
strict_top_06,严筛模型 6,SYS_09927 | Province: No / Year: Yes,SYS_09927,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 城市用水普及率 | 牲畜饲养-猪年底头数 | 文盲比例,8,TA（°C）,0.9813240622594429,0.7753648617455484,0.7763279009849404,医疗水平,1.4419735927639874,30.785977310339014,27.210010924599764,-3.5759663857392496,-4.247309174655815,ssp585,SSP5-8.5（climate）,2.016498159972515,amc_reduce_50,AMC reduces 50% by 2050,-1.594551794383132,3.6110499543556474,6,西藏、青海、浙江,河南、湖北、新疆,lancet_ets,Lancet-like ETS baseline
strict_top_07,严筛模型 7,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 生活垃圾无害化处理率 | 牲畜饲养-猪年底头数 | PA（%） | 食品消费量,9,TA（°C）,0.9849217800128025,0.7443787105286491,0.5818394252921388,医疗水平,1.4400681944554719,30.785977310339014,27.210010924599764,-3.5759663857392496,-4.247309174655815,ssp585,SSP5-8.5（climate）,1.5923460279255703,amc_reduce_50,AMC reduces 50% by 2050,-1.5308282166694076,3.1231742445949777,6,浙江、西藏、青海,河南、湖北、新疆,lancet_ets,Lancet-like ETS baseline
strict_top_08,严筛模型 8,SYS_09776 | Province: No / Year: Yes,SYS_09776,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 生活垃圾无害化处理率 | 牲畜饲养-猪年底头数 | 食品消费量,8,TA（°C）,0.9544184763183855,0.7434790767495798,0.6052927438247809,医疗水平,1.4211500953151779,30.785977310339014,27.210010924599764,-3.5759663857392496,-4.247309174655815,ssp585,SSP5-8.5（climate）,1.6337267466956962,amc_reduce_50,AMC reduces 50% by 2050,-1.528978103609766,3.1627048503054622,6,浙江、西藏、青海,河南、湖北、新疆,lancet_ets,Lancet-like ETS baseline
robust_systematic,稳健性模型 2,SYS_09556 | Province: No / Year: Yes,SYS_09556,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | GDP | 城市用水普及率 | 牲畜饲养-猪年底头数 | 主要城市降水量 | 食品消费量,9,TA（°C）,1.0637597396111496,0.7029203300612673,0.3178571152716953,GDP,1.0907232403107088,30.785977310339014,27.210010924599764,-3.5759663857392496,-4.247309174655815,ssp585,SSP5-8.5（climate）,1.040660835648908,amc_reduce_50,AMC reduces 50% by 2050,-1.4455683110068562,2.486229146655764,6,浙江、广东、安徽,河南、河北、新疆,lancet_ets,Lancet-like ETS baseline
robust_systematic_2,稳健性模型 3,SYS_09557 | Province: No / Year: Yes,SYS_09557,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | GDP | 城市用水普及率 | 牲畜饲养-猪年底头数 | 主要城市降水量 | 文盲比例,9,TA（°C）,1.0748138137533276,0.718164451016465,0.4553809280930171,R1xday,1.0748138137533276,30.785977310339014,27.210010924599764,-3.5759663857392496,-4.247309174655815,ssp585,SSP5-8.5（climate）,1.344998166636826,amc_reduce_50,AMC reduces 50% by 2050,-1.4769181201382393,2.8219162867750653,6,浙江、广东、西藏,河南、湖北、新疆,lancet_ets,Lancet-like ETS baseline
robust_low_vif,稳健性模型 1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes,TA（°C） | R1xday | PM2.5 | 抗菌药物使用强度 | GDP | 文盲比例 | 人均日生活用水量(升) | 牲畜饲养-猪年底头数 | 主要城市日照时数,9,TA（°C）,0.8728366167836531,0.7622584481250676,0.5082798550132395,GDP,1.0035438599938886,30.785977310339014,27.210010924599764,-3.5759663857392496,-4.247309174655815,ssp585,SSP5-8.5（climate）,1.3950714320205069,amc_reduce_50,AMC reduces 50% by 2050,-1.567598218863323,2.96266965088383,6,浙江、西藏、青海,河南、湖北、新疆,lancet_ets,Lancet-like ETS baseline
main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | 氮氧化物 | 医疗水平 | 人均日生活用水量(升) | 牲畜饲养-猪年底头数 | 文盲比例,8,TA（°C）,0.8681434804323386,0.7386021840174268,0.5511428509276627,医疗水平,1.4591550495110854,31.092214320752245,33.52213388693715,2.4299195661849033,2.064813787681569,ssp585,SSP5-8.5（climate）,1.4872826798176064,amc_reduce_50,AMC reduces 50% by 2050,-1.5189486859243144,3.006231365741921,6,浙江、西藏、青海,河南、湖北、新疆,x_driven,X-driven / Nature-like simplified baseline
strict_main_model,严筛主模型,SYS_09851 | Province: No / Year: Yes,SYS_09851,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 卫生程度（日污水处理能力） | 牲畜饲养-猪年底头数 | 食品消费量,8,TA（°C）,0.8553290261795496,0.6422790746861687,0.4723773054202255,医疗水平,1.406610847764336,31.149671325461657,34.70168309638654,3.5520117709248815,3.2443629971309598,ssp585,SSP5-8.5（climate）,1.310870140856497,amc_reduce_50,AMC reduces 50% by 2050,-1.3208584778138455,2.6317286186703424,6,浙江、西藏、广东,河南、湖北、新疆,x_driven,X-driven / Nature-like simplified baseline
strict_top_02,严筛模型 2,SYS_10001 | Province: No / Year: Yes,SYS_10001,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 饮用水供水综合生产能力(万立方米/日) | 牲畜饲养-猪年底头数 | 食品消费量,8,TA（°C）,0.8918085904973961,0.6347530197868431,0.4578477866444546,医疗水平,1.300414451051195,31.191222008665253,34.428630684582984,3.237408675917731,2.971310585327405,ssp585,SSP5-8.5（climate）,1.2909459157148833,amc_reduce_50,AMC reduces 50% by 2050,-1.3053810104479284,2.5963269261628117,6,浙江、广东、西藏,河南、湖北、新疆,x_driven,X-driven / Nature-like simplified baseline
strict_top_03,严筛模型 3,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 饮用水供水综合生产能力(万立方米/日) | 牲畜饲养-猪年底头数 | 文盲比例,8,TA（°C）,0.9147969466498762,0.6692767756048551,0.6920954744804111,医疗水平,1.2919869633731786,31.27189494766127,34.66603948198639,3.394144534325118,3.208719382730809,ssp585,SSP5-8.5（climate）,1.810682385670795,amc_reduce_50,AMC reduces 50% by 2050,-1.3763797356990635,3.1870621213698582,6,西藏、青海、浙江,河南、湖北、新疆,x_driven,X-driven / Nature-like simplified baseline
strict_top_04,严筛模型 4,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 城市用水普及率 | 牲畜饲养-猪年底头数 | PA（%） | 食品消费量,9,TA（°C）,0.9790142188548401,0.7563925147800794,0.5106792364915679,医疗水平,1.4734351305860134,31.11379706017382,34.382415916208764,3.2686188560349443,2.925095816953185,ssp585,SSP5-8.5（climate）,1.4348090247107037,amc_reduce_50,AMC reduces 50% by 2050,-1.5555348213553086,2.990343846066012,6,浙江、广东、西藏,河南、湖北、新疆,x_driven,X-driven / Nature-like simplified baseline
strict_top_05,严筛模型 5,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 城市用水普及率 | 牲畜饲养-猪年底头数 | 食品消费量,8,TA（°C）,0.9469588021691318,0.7552918908630947,0.5358661837527696,医疗水平,1.453179403104753,31.143108899454283,34.587868200314475,3.4447593008601913,3.1305481010588956,ssp585,SSP5-8.5（climate）,1.4794767778874687,amc_reduce_50,AMC reduces 50% by 2050,-1.5532713684593153,3.0327481463467842,6,浙江、西藏、青海,河南、湖北、新疆,x_driven,X-driven / Nature-like simplified baseline
strict_top_06,严筛模型 6,SYS_09927 | Province: No / Year: Yes,SYS_09927,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 城市用水普及率 | 牲畜饲养-猪年底头数 | 文盲比例,8,TA（°C）,0.9813240622594429,0.7753648617455484,0.7763279009849404,医疗水平,1.4419735927639874,31.22046155937097,34.86732339121664,3.6468618318456656,3.4100032919610577,ssp585,SSP5-8.5（climate）,2.0164981599725147,amc_reduce_50,AMC reduces 50% by 2050,-1.5945517943831324,3.6110499543556474,6,西藏、青海、浙江,河南、湖北、新疆,x_driven,X-driven / Nature-like simplified baseline
strict_top_07,严筛模型 7,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 生活垃圾无害化处理率 | 牲畜饲养-猪年底头数 | PA（%） | 食品消费量,9,TA（°C）,0.9849217800128025,0.7443787105286491,0.5818394252921388,医疗水平,1.4400681944554719,31.20251731731995,34.89704434303779,3.694527025717843,3.439724243782212,ssp585,SSP5-8.5（climate）,1.5923460279255703,amc_reduce_50,AMC reduces 50% by 2050,-1.5308282166694076,3.1231742445949777,6,浙江、西藏、青海,河南、湖北、新疆,x_driven,X-driven / Nature-like simplified baseline
strict_top_08,严筛模型 8,SYS_09776 | Province: No / Year: Yes,SYS_09776,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 生活垃圾无害化处理率 | 牲畜饲养-猪年底头数 | 食品消费量,8,TA（°C）,0.9544184763183855,0.7434790767495798,0.6052927438247809,医疗水平,1.4211500953151779,31.228777348442584,35.01551658295938,3.7867392345167943,3.5581964837037994,ssp585,SSP5-8.5（climate）,1.6337267466956964,amc_reduce_50,AMC reduces 50% by 2050,-1.5289781036097656,3.1627048503054622,6,浙江、西藏、青海,河南、湖北、新疆,x_driven,X-driven / Nature-like simplified baseline
robust_systematic,稳健性模型 2,SYS_09556 | Province: No / Year: Yes,SYS_09556,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | GDP | 城市用水普及率 | 牲畜饲养-猪年底头数 | 主要城市降水量 | 食品消费量,9,TA（°C）,1.0637597396111496,0.7029203300612673,0.3178571152716953,GDP,1.0907232403107088,31.190117693482986,32.012250061822584,0.8221323683395987,0.5549299625670052,ssp585,SSP5-8.5（climate）,1.040660835648908,amc_reduce_50,AMC reduces 50% by 2050,-1.4455683110068567,2.4862291466557647,6,浙江、广东、安徽,河南、河北、新疆,x_driven,X-driven / Nature-like simplified baseline
robust_systematic_2,稳健性模型 3,SYS_09557 | Province: No / Year: Yes,SYS_09557,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | GDP | 城市用水普及率 | 牲畜饲养-猪年底头数 | 主要城市降水量 | 文盲比例,9,TA（°C）,1.0748138137533276,0.718164451016465,0.4553809280930171,R1xday,1.0748138137533276,31.162839564462022,31.7098364987336,0.5469969342715792,0.2525163994780222,ssp585,SSP5-8.5（climate）,1.3449981666368265,amc_reduce_50,AMC reduces 50% by 2050,-1.476918120138239,2.821916286775066,6,浙江、广东、西藏,河南、湖北、新疆,x_driven,X-driven / Nature-like simplified baseline
robust_low_vif,稳健性模型 1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes,TA（°C） | R1xday | PM2.5 | 抗菌药物使用强度 | GDP | 文盲比例 | 人均日生活用水量(升) | 牲畜饲养-猪年底头数 | 主要城市日照时数,9,TA（°C）,0.8728366167836531,0.7622584481250676,0.5082798550132395,GDP,1.0035438599938886,31.056109749665644,30.791085516984655,-0.2650242326809895,-0.6662345822709241,ssp585,SSP5-8.5（climate）,1.3950714320205069,amc_reduce_50,AMC reduces 50% by 2050,-1.5675982188633228,2.9626696508838295,6,浙江、西藏、青海,河南、湖北、新疆,x_driven,X-driven / Nature-like simplified baseline
